episode,score,avg100,epsilon
1,-307.79938305168355,,0.9999300000000003
2,-420.4817218773876,,0.9990300000000044
3,-135.80890902697294,,0.9977600000000102
4,-145.85799451241223,,0.9965000000000159
5,-95.69545733695729,,0.9954900000000205
6,-374.3272120012298,,0.9940100000000273
7,-196.86834616243078,,0.992970000000032
8,-72.23240199399368,,0.9923800000000347
9,-146.42018074983486,,0.99122000000004
10,-197.0050504737057,,0.9902300000000445
11,-3.2073521456935765,,0.9889300000000504
12,-137.71579643743905,,0.9883100000000532
13,-95.59464918007286,,0.9876300000000563
14,-148.63688619262848,,0.9866100000000609
15,-125.80480990206063,,0.9853400000000667
16,-190.02207269455084,,0.9840100000000728
17,-72.72757852732117,,0.9834100000000755
18,-177.77457759057572,,0.9824800000000797
19,-146.5225896401343,,0.9814400000000845
20,-176.67502167736484,,0.9803200000000896
21,-218.0110320178717,,0.9792900000000943
22,-110.57673062509693,,0.9783800000000984
23,-111.52813419640734,,0.9775000000001024
24,-133.26299528956005,,0.9766700000001062
25,-72.93990998340009,,0.9758500000001099
26,-244.12423185998898,,0.9750300000001136
27,-127.98289558821399,,0.9743400000001168
28,-179.10122497577288,,0.9730900000001225
29,-192.38297254111313,,0.9719500000001277
30,-198.17369481399078,,0.9710600000001317
31,-48.18282263918627,,0.9702700000001353
32,-113.22385126595748,,0.969670000000138
33,-145.10111448706104,,0.968580000000143
34,-248.89456163888147,,0.9677900000001466
35,-163.00484479281084,,0.9665700000001521
36,-115.17132881209315,,0.9658400000001555
37,-164.2439422824281,,0.9648200000001601
38,-13.750327445113157,,0.9639100000001642
39,-70.3680432531121,,0.9629700000001685
40,-89.29218517273462,,0.9622300000001719
41,-127.2071450193974,,0.961110000000177
42,-385.8276201261512,,0.960230000000181
43,-239.2795619266701,,0.9592000000001857
44,-123.87186411814216,,0.958020000000191
45,-63.90589109148452,,0.9568300000001965
46,-131.07546465880276,,0.9560100000002002
47,-80.02615974545127,,0.9548300000002056
48,-260.2225902369329,,0.9536100000002111
49,-150.18508082100436,,0.9528500000002146
50,-433.7612395180629,,0.9519400000002187
51,-61.79208967734769,,0.9512500000002219
52,-83.0299065532169,,0.9501900000002267
53,-128.80951459928679,,0.9494100000002302
54,-106.28815808268145,,0.9484200000002347
55,-106.79200690307614,,0.9473100000002398
56,-142.45968832777174,,0.9464400000002438
57,-114.67015419862054,,0.9457900000002467
58,-120.31191317434816,,0.944850000000251
59,-65.41905174595064,,0.9442100000002539
60,-443.56522403979386,,0.9433500000002578
61,-131.9888558574308,,0.942440000000262
62,-24.389654252892512,,0.9414500000002665
63,-46.16598531774929,,0.9401800000002722
64,-156.7596503496975,,0.9392100000002767
65,-110.08647327391799,,0.9381100000002817
66,-116.5879884745759,,0.9372700000002855
67,-139.01917129992984,,0.9363100000002899
68,-205.53874464076495,,0.9352500000002947
69,-108.96157796913987,,0.9345500000002979
70,-104.93157038441298,,0.9335800000003023
71,-392.8586682066063,,0.9326300000003066
72,-110.71873781432475,,0.9316800000003109
73,-108.13966226420237,,0.9308800000003146
74,-118.85608238521925,,0.9300400000003184
75,-72.3107645301861,,0.9292900000003218
76,-167.48299563757317,,0.9286000000003249
77,-119.41979277004398,,0.9273400000003307
78,-133.9680070110428,,0.9265200000003344
79,-124.0434714110766,,0.9256400000003384
80,-114.67749836446258,,0.9249800000003414
81,-8.11667646821617,,0.9236700000003474
82,-240.46796437628677,,0.9225600000003524
83,-381.06255453555434,,0.9214500000003575
84,-208.14638917479385,,0.9207400000003607
85,-179.92945494776498,,0.9198600000003647
86,-109.82692474815184,,0.9191200000003681
87,-97.8409923287832,,0.9177800000003742
88,-223.54322248180506,,0.9169800000003778
89,-133.601138870838,,0.9162600000003811
90,-108.25703525036923,,0.9153000000003855
91,-162.0819256974682,,0.9143300000003899
92,-183.50197842796086,,0.9129400000003962
93,-69.9632163545399,,0.9117500000004016
94,-144.91659179847514,,0.910800000000406
95,-81.6262594749186,,0.9095200000004118
96,-101.37373149044689,,0.9085400000004162
97,-280.0403001522984,,0.9076200000004204
98,-126.15153925526408,,0.9069600000004234
99,-54.1865204727476,,0.9063200000004263
100,-131.82374529125093,-151.2835867323262,0.9051600000004316
101,-130.22022617065264,-149.50779516351588,0.9041200000004364
102,-124.77692438195419,-146.5507471885616,0.902870000000442
103,-176.52234621796674,-146.9578815604715,0.9019400000004463
104,-92.44587228030937,-146.4237603381505,0.9007700000004516
105,-31.265004360875253,-145.77945580838966,0.8999600000004553
106,-100.99927880401178,-143.0461764764175,0.8991100000004592
107,-107.05053011525804,-142.14799831594576,0.8979600000004644
108,-255.32016424876227,-143.97887593849345,0.8972700000004675
109,-37.35155495311683,-142.88818968052624,0.896280000000472
110,-68.85302384820454,-141.60666941427127,0.8956000000004751
111,-83.35755714674366,-142.40817146428174,0.894960000000478
112,-128.6357461736288,-142.31737096164363,0.8941900000004815
113,-6.811395942021889,-141.42953842926312,0.8929000000004874
114,-77.87872280153248,-140.72195679535218,0.8919500000004917
115,-49.19491731551531,-139.95585786948672,0.891240000000495
116,-116.09724075021643,-139.2166095500434,0.890350000000499
117,-84.00968220198222,-139.32943058678998,0.8897200000005019
118,-169.8074296592461,-139.2497591074767,0.8888800000005057
119,-102.5585994770558,-138.8101192058459,0.8876900000005111
120,-105.01834198605201,-138.09355240893277,0.8864600000005167
121,-56.687432229846124,-136.48031641105254,0.8854000000005215
122,-15.921404198015807,-135.53376314678172,0.8846800000005248
123,-127.8134637648764,-135.6966164424664,0.8837500000005291
124,-126.63878088185177,-135.6303742983893,0.8826000000005343
125,-132.54786800038073,-136.22645387855914,0.8816300000005387
126,-118.41236505869873,-134.9693352105462,0.8808200000005424
127,-139.47110919372395,-135.08421734660132,0.8799600000005463
128,-202.26851747364057,-135.31589027158,0.8787600000005518
129,-182.6311869083329,-135.2183724152522,0.8776700000005567
130,29.04645544062376,-132.94617091270604,0.876080000000564
131,-219.46235144371792,-134.65896620075134,0.8745800000005708
132,-240.83253884068145,-135.9350530764986,0.8734800000005758
133,-82.98911513658797,-135.31393308299388,0.8727100000005793
134,-110.43360975801589,-133.9293235641852,0.8720300000005824
135,-49.3081955272804,-132.79235707152992,0.8706100000005889
136,-76.31168125294563,-132.40376059593845,0.869480000000594
137,-144.783584117487,-132.20915701428902,0.8681300000006001
138,-123.5084942406929,-133.30673868224483,0.8672300000006042
139,-63.90280750546597,-133.24208632476837,0.8658000000006107
140,-334.54070691680494,-135.69457154220908,0.8647400000006156
141,-33.45477088320537,-134.75704780084715,0.8639100000006193
142,-131.7080147612661,-132.2158517471983,0.862890000000624
143,-167.66236676230727,-131.49967979555467,0.8618800000006286
144,-76.24324254945337,-131.0233935798678,0.8612300000006315
145,-61.58442293120254,-131.00017889826498,0.8605100000006348
146,-299.60459169457846,-132.68547016862271,0.8588000000006426
147,-93.77335339625562,-132.82294210513075,0.8580200000006462
148,-113.11855918077697,-131.35190179456922,0.8567100000006521
149,-27.71142499472029,-130.12716523630635,0.8554500000006579
150,-90.78573301768816,-126.69741017130262,0.8542500000006633
151,-129.83464857751048,-127.37783576030424,0.853010000000669
152,-163.52808831451188,-128.1828175779172,0.8519900000006736
153,-154.6780782103785,-128.4415032140281,0.8504700000006805
154,-110.45628123413046,-128.4831844455426,0.8494100000006853
155,-345.8558165977396,-130.87382254248922,0.8484600000006897
156,-61.95055094545609,-130.06873116866606,0.8473700000006946
157,-172.44120738933168,-130.64644170057318,0.8461500000007002
158,-118.37793091813799,-130.6271018780111,0.8454400000007034
159,-166.7684626208059,-131.64059598675965,0.8446300000007071
160,-91.69355656450978,-128.1218793120068,0.8438500000007106
161,-69.30903585266476,-127.49508111195914,0.8430500000007143
162,-88.44487714092054,-128.1356333408394,0.8423600000007174
163,-118.96347186956376,-128.86360820635755,0.8414900000007214
164,-116.46136950708032,-128.46062539793138,0.8403700000007265
165,-113.34952072321306,-128.49325587242436,0.8394300000007308
166,-104.28165480360298,-128.3701925357146,0.8382200000007363
167,-121.02262432383324,-128.19022706595365,0.8369400000007421
168,-71.13879088085122,-126.8462275283545,0.8355800000007483
169,-87.92811756586485,-126.63589292432177,0.8344400000007535
170,-89.58717063786875,-126.48244892685632,0.8336000000007573
171,-201.75903882291018,-124.57145263301935,0.8322800000007633
172,-30.859439155548074,-123.77285964643158,0.8309400000007694
173,-104.46141691499193,-123.73607719293949,0.830150000000773
174,-61.37784698108061,-123.1612948388981,0.8290200000007781
175,-87.2772675111328,-123.31095986870758,0.8279100000007832
176,-86.30596839497217,-122.49918959628155,0.8269900000007874
177,-114.25526642867115,-122.44754433286782,0.8259300000007922
178,-34.93425497988727,-121.45720681255627,0.8252100000007955
179,-99.09625961323476,-121.20773469457785,0.8241200000008004
180,-227.5432924588519,-122.33639263552175,0.8229700000008057
181,-105.86187553840607,-123.31384462622364,0.8218200000008109
182,-45.829670257248864,-121.36746168503326,0.8206800000008161
183,-171.7831545750343,-119.27466768542807,0.8194300000008218
184,-93.94842214794963,-118.13268801515962,0.8186100000008255
185,-62.9877987333617,-116.96327145301558,0.8175100000008305
186,-146.19345289873652,-117.32693673452144,0.8160000000008374
187,-100.16617622004142,-117.35018857343402,0.8151900000008411
188,-362.98330240270536,-118.74458937264302,0.8138700000008471
189,-404.742730471004,-121.45600528864469,0.8129800000008511
190,-181.65796474788135,-122.1900145836198,0.811910000000856
191,-72.18550195368033,-121.29105034618193,0.8111900000008593
192,-116.59010518928673,-120.62193161379517,0.8099600000008649
193,-124.53172509133809,-121.16761670116317,0.8092400000008682
194,-118.17149241795572,-120.90016570735797,0.8078800000008743
195,-69.88228205845479,-120.78272593319332,0.8071700000008776
196,-90.89014625261237,-120.67789008081498,0.805980000000883
197,-18.758361349939292,-118.0650706927914,0.8047000000008888
198,-230.654621390331,-119.11010151414206,0.8036700000008935
199,-53.45675837671291,-119.10280389318172,0.8021500000009004
